id,averageRating,reviewsNum,name,coords/0,coords/1
1038972273,4.1,1934,Метромаркет,55.731882,37.663992
1739390075,4.2,503,Торговый центр,55.812928,37.706544
85615225239,4,314,Торговый центр,55.810245,37.787758
1043327863,4.5,37409,Домодедовский,55.609742,37.719906
1807838321,4.2,550,Торговый центр,55.719179,37.778988
1102876611,4.1,1214,Компас,55.850961,37.679161
1126849301,4.3,6833,Панорама,55.671531,37.553754
1161562124,4.3,2130,Наутилус,55.759183,37.624868
1777846095,4.3,539,Gardenmir,55.780137,37.633644
1071724435,3.9,476,Торговый центр,55.716711,37.792222
1317369510,4.1,879,Алексеевский,55.808174,37.638046
1241031952,4.8,14461,Клён,55.875735,37.665401
1067823121,4.4,4484,ТК Измайлово,55.788233,37.787307
83942629196,4.3,1486,Заря,55.781743,37.705139
1000339903,4.1,3609,Старт,55.790365,37.544367
1278799042,4.8,8782,БраVo!,55.639034,37.759228
1077371640,4.4,21185,Горбушка,55.741211,37.502663
1003792929,4.3,52597,Принц Плаза,55.618608,37.506486
210426576010,5,5348,Место встречи Рассвет,55.824049,37.518152
96777486600,4.2,340,Торговый центр,55.655037,37.484894
1029057503,4.3,626,Галерея,55.759145,37.610898
1788778964,4.3,564,Новоарбатский,55.752085,37.596237
1725110455,4.1,398,Торговый центр,55.747014,37.774577
1203349621,4.3,8127,Люблино,55.673794,37.760539
1107302304,4.3,2661,Улей,55.862886,37.585449
239426221958,4.8,5683,Место встречи Высота,55.699767,37.76533
212986650150,4.7,5953,Сказка,55.634803,37.33507
80741333463,4.5,3833,Гавань,55.840957,37.485338
1277434509,4.2,1462,For you,55.68445,37.621963
1136178701,4.2,946,K24,55.728214,37.580337
1085762984,4.3,1696,Сфера,55.753223,37.575895
1755208521,4.4,209,Торговый центр,55.805641,37.413274
26124361429,4.3,3418,Серебряный дом,55.782052,37.704022
1003900071,4,1022,Дарья,55.792941,37.493577
10023080557,4.7,1319,ТЦ Потапово,55.533168,37.497893
1389291244,4.3,2087,Океан,55.678246,37.697386
1022520445,4.5,28949,Облака,55.612128,37.732698
1124930593,4.6,6752,Ключевой,55.640044,37.758149
140097893959,4.4,4060,Галеон,55.647827,37.481396
1381622328,4.4,4893,Глобал Молл,55.712183,37.656697
1749017180,4.3,17247,Щёлково,55.811072,37.830744
1228935243,4.3,1388,Фабрика,55.816736,37.735183
1032760968,4.4,1914,BoscoVesna,55.752007,37.588291
59907767391,5,113722,Мега,55.911143,37.3968
104445441759,4.4,2945,Торговый дом Савеловский,55.793909,37.593397
1353980721,4.1,2152,Мост,55.708229,37.73062
1086601275,4.1,8357,Звёздочка,55.741807,37.655708
1030209739,4.2,3464,Таганка,55.740773,37.657628
1250027852,4.1,2085,УниверСити,55.693349,37.53376
1052407198,4.2,5515,Ареал,55.897734,37.588207
1077768815,4,2001,Кожевники,55.730453,37.645494
1746870647,4.9,49735,Шоколад,55.763827,37.84473
1100483810,4.4,3376,Никольский пассаж,55.755613,37.621979
1042174987,4.3,2433,Тульский,55.710041,37.623354
1218481775,4.4,38654,Горбушкин Двор,55.742605,37.504613
1208971575,4.6,6081,Парк Хаус,55.625148,37.761031
1240511734,4.2,4283,Электроника на Пресне,55.76497,37.557882
174511597096,4.5,12974,Азовский,55.64766,37.596395
214797091828,4.3,2345,Парагон,55.795031,37.783536
3637966821,4.2,321,Добрынинский,55.729292,37.622049
1260899767,4.4,12428,Маркос-Молл,55.8883,37.588462
68957372101,4.2,2470,Зенит,55.790647,37.680111
32404842459,4.2,958,Соле Молл,55.858394,37.685846
1090177051,4.3,7489,Радужный,55.869203,37.663169
136598280940,4.7,722,Место встречи Прага,55.792658,37.577901
220287969624,5,787,Солнце Москвы,55.826113,37.628698
1013198421,4.4,13404,Мариэль,55.649096,37.744894
200181621417,5,18763,Крокус Сити Молл,55.819487,37.387541
1087960794,4.3,3002,Бухарест,55.65557,37.571581
1045250272,4.3,5014,Дарья,55.806017,37.39547
42086401455,4,1065,Вега,55.838825,37.572325
30007788202,5,46274,Июнь,55.920592,37.708486
215606109698,4.4,2048,Место встречи Орбита,55.676328,37.665344
1216082933,4.3,4808,Мираж,55.705567,37.768658
1807005079,4,255,Торговый центр,55.851825,37.646342
1010213177,4.4,10142,Час Пик,55.898589,37.629585
1705102147,4.3,5687,Перово Молл,55.745252,37.797331
1000958166,4.7,10010,Столица,55.64701,37.41169
133859605860,4.7,6779,Декоратор,55.729302,37.734575
88074950697,4.4,3696,Фили Град,55.75532,37.51005
1042081312,4.4,11999,Круг,55.569749,37.579036
1202428446,4.6,10331,Авентура,55.636895,37.598867
235998599158,4.8,2707,Место встречи Нева,55.862752,37.471208
1000833751,4.4,3486,Багратионовский,55.74348,37.498648
1102548165,4.5,8289,Fort,55.606843,37.536283
55619508463,4.2,1873,РТС Рублевский,55.754013,37.406443
1067451155,4.2,1101,Метромаркет,55.818897,37.5735
1019547178,4.6,11050,Витте Молл,55.547922,37.543171
1011107844,4.1,974,Квадро,55.725604,37.449752
1013698959,4.4,7532,Звёздочка,55.66513,37.481547
30327442469,4.3,1985,Савёловский Детский,55.795748,37.59338
1078945362,4.3,1415,Нижегородский Пассаж,55.738491,37.674247
1386552946,4.2,2010,Драйв,55.703604,37.833705
1093487471,4.2,5076,Коломенский,55.678244,37.66487
1231321915,5,90579,Vegas Сити,55.820766,37.388148
213180484923,3.1,78,Торговый центр,55.708246,37.727547
1657950735,4.5,1448,Волжский,55.700011,37.752454
1045096846,4.4,7574,Ритейл Парк,55.633488,37.623933
1182298197,4.6,19317,Спектр,55.619427,37.509276
1057696465,4.8,65928,Митинский радиорынок,55.844712,37.383325
234556565251,3.8,145,Торговый центр,55.714546,37.803832
1104789676,4,1061,Три-D,55.73541,37.70168
1046457270,4.3,2101,Чукотка,55.851182,37.646089
1334994265,4.4,6933,Мандарин,55.814565,37.772235
1261537194,4.3,7714,Аэробус,55.64022,37.621701
88186924832,5,7696,Южная галерея,55.611058,37.606775
